id,value
phylum_Actinobacteria,
phylum_Actinobacteria.class_Actinobacteria,
phylum_Actinobacteria.class_Actinobacteria.class_Actinobacteridae,3
phylum_Actinobacteria.class_Actinobacteria.order_Bifidobacteriales,3
phylum_Actinobacteria.class_Actinobacteria.order_Coriobacteriaceae,
phylum_Actinobacteria.class_Actinobacteria.order_Coriobacteriaceae.family_Coriobacteriaceae,4
phylum_Actinobacteria.order_Actinomycetales,
phylum_Actinobacteria.order_Actinomycetales.family_Mycobacterium,3
phylum_Actinobacteria.order_Actinomycetales.order_Corynebacterineae,3
