id,value
phylum_Heterokont,
phylum_Heterokont.class_Axodine,2
phylum_Heterokont.class_Oomycete,
phylum_Heterokont.class_Oomycete.family_Pythiaceae,
phylum_Heterokont.class_Oomycete.family_Pythiaceae.order_Pythiales,4
