id,value
phylum_Chlamydiae,
phylum_Chlamydiae.class_Chlamydiae,2
phylum_Chlamydiae.family_Chlamydiaceae,
phylum_Chlamydiae.family_Chlamydiaceae.order_Chlamydiae,3
