id,value
kingdom_Plant.class_Eudicots.order_Asterids.order_Lamiales.family_Acanthaceae,5
kingdom_Plant.class_Eudicots.order_Asterids.order_Lamiales.family_Bignoniaceae,
kingdom_Plant.class_Eudicots.order_Asterids.order_Lamiales.family_Bignoniaceae.family_Tecomeae,6
kingdom_Plant.class_Eudicots.order_Asterids.order_Lamiales.family_Gesneriaceae,5
kingdom_Plant.class_Eudicots.order_Asterids.order_Lamiales.family_Lamiaceae,
kingdom_Plant.class_Eudicots.order_Asterids.order_Lamiales.family_Lamiaceae.family_Mentheae,6
kingdom_Plant.class_Eudicots.order_Asterids.order_Lamiales.family_Lamiaceae.family_Nepetoideae,6
kingdom_Plant.class_Eudicots.order_Asterids.order_Lamiales.family_Lamiaceae.family_Teucrioideae,6
kingdom_Plant.class_Eudicots.order_Asterids.order_Lamiales.family_Lentibulariaceae,5
kingdom_Plant.class_Eudicots.order_Asterids.order_Lamiales.family_Oleaceae,
kingdom_Plant.class_Eudicots.order_Asterids.order_Lamiales.family_Oleaceae.family_Oleeae,6
kingdom_Plant.class_Eudicots.order_Asterids.order_Lamiales.family_Orobanchaceae,5
kingdom_Plant.class_Eudicots.order_Asterids.order_Lamiales.family_Phrymaceae,5
kingdom_Plant.class_Eudicots.order_Asterids.order_Lamiales.family_Plantaginaceae,5
kingdom_Plant.class_Eudicots.order_Asterids.order_Lamiales.family_Scrophulariaceae,5
kingdom_Plant.class_Eudicots.order_Asterids.order_Lamiales.family_Verbenaceae,5
kingdom_Plant.class_Eudicots.order_Asterids.order_Solanales,
kingdom_Plant.class_Eudicots.order_Asterids.order_Solanales.family_Convolvulaceae,5
kingdom_Plant.class_Eudicots.order_Asterids.order_Solanales.family_Solanaceae,
kingdom_Plant.class_Eudicots.order_Asterids.order_Solanales.family_Solanaceae.family_Solanoideae,6
kingdom_Plant.class_Eudicots.order_Buxales,
kingdom_Plant.class_Eudicots.order_Buxales.family_Buxaceae,4
kingdom_Plant.class_Eudicots.order_Crossosomatales,3
kingdom_Plant.class_Eudicots.order_Eudicots,
kingdom_Plant.class_Eudicots.order_Eudicots.order_Berberidopsidales,4
kingdom_Plant.class_Eudicots.order_Eudicots.order_Caryophyllales,
kingdom_Plant.class_Eudicots.order_Eudicots.order_Caryophyllales.family_Aizoaceae,5
kingdom_Plant.class_Eudicots.order_Eudicots.order_Caryophyllales.family_Amaranthaceae,
kingdom_Plant.class_Eudicots.order_Eudicots.order_Caryophyllales.family_Amaranthaceae.family_Betoideae,6
kingdom_Plant.class_Eudicots.order_Eudicots.order_Caryophyllales.family_Amaranthaceae.family_Chenopodioideae,6
kingdom_Plant.class_Eudicots.order_Eudicots.order_Caryophyllales.family_Amaranthaceae.family_Salsoloideae,6
kingdom_Plant.class_Eudicots.order_Eudicots.order_Caryophyllales.family_Basellaceae,5
kingdom_Plant.class_Eudicots.order_Eudicots.order_Caryophyllales.family_Cactus,
kingdom_Plant.class_Eudicots.order_Eudicots.order_Caryophyllales.family_Cactus.family_Cactoideae,
kingdom_Plant.class_Eudicots.order_Eudicots.order_Caryophyllales.family_Cactus.family_Cactoideae.family_Browningieae,7
kingdom_Plant.class_Eudicots.order_Eudicots.order_Caryophyllales.family_Cactus.family_Cactoideae.family_Cacteae,7
